log_id,customer_key,log_date,topic,category,description,sentiment,channel,priority,resolution_date,agent_key
21,516,2023-11-18,Solar,Technisch,Monitoring nicht verfügbar,Positiv,Chat,Niedrig,2023-11-26,79
22,21,2025-04-09,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,App,Kritisch,2025-04-16,77
23,86,2024-12-16,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Email,Hoch,2024-12-28,33
24,257,2024-04-20,Allgemein,Service,Lob,Positiv,Email,Niedrig,2024-04-23,41
25,849,2025-04-08,Wallbox,E-Mobility,Wallbox Installation,Neutral,Email,Niedrig,2025-04-15,65
26,399,2024-10-20,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Chat,Niedrig,2024-11-02,88
27,951,2024-09-17,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Chat,Niedrig,2024-09-21,100
28,961,2024-05-30,Allgemein,Service,Beschwerde,Negativ,Chat,Mittel,2024-06-07,22
29,6,2024-01-31,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Chat,Mittel,2024-02-08,1
30,337,2024-12-05,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,App,Mittel,2024-12-14,67
31,747,2024-04-03,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Chat,Hoch,2024-04-12,68
32,457,2023-07-12,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Email,Mittel,2023-07-21,77
33,277,2023-12-05,Tarif,Vertrag,Kündigung,Neutral,Telefon,Hoch,2023-12-14,43
34,304,2024-05-16,Solar,Technisch,Wechselrichter Fehler,Neutral,Email,Niedrig,2024-05-26,91
35,674,2023-03-16,Allgemein,Service,Lob,Positiv,Telefon,Niedrig,2023-03-22,5
36,641,2024-06-20,Wallbox,E-Mobility,Wallbox Installation,Positiv,Chat,Hoch,2024-06-27,87
37,916,2023-10-13,Tarif,Vertrag,Kündigung,Positiv,Telefon,Niedrig,2023-10-23,56
38,576,2024-11-13,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Chat,Kritisch,2024-11-25,75
39,76,2024-09-20,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Niedrig,2024-09-22,68
40,5,2024-03-04,Rechnung,Abrechnung,Rechnungsfrage,Positiv,App,Niedrig,2024-03-14,50
41,285,2024-10-03,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,Chat,Mittel,2024-10-13,91
42,311,2023-03-27,Tarif,Vertrag,Kündigung,Negativ,App,Mittel,2023-04-08,62
43,4,2024-05-21,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Telefon,Mittel,2024-06-01,42
44,909,2023-02-10,Allgemein,Service,Allgemeine Anfrage,Positiv,App,Hoch,2023-02-11,58
45,457,2023-02-15,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Negativ,Email,Mittel,2023-02-21,30
46,247,2025-06-23,Wallbox,E-Mobility,Wallbox defekt,Negativ,App,Mittel,2025-06-23,48
47,426,2023-11-06,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Mittel,2023-11-06,94
48,930,2023-08-04,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Niedrig,2023-08-12,95
49,573,2024-05-02,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Chat,Niedrig,2024-05-07,79
50,315,2025-01-06,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Hoch,2025-01-15,8
51,314,2024-07-04,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Niedrig,2024-07-18,14
52,245,2023-07-16,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Chat,Kritisch,2023-07-22,53
53,261,2024-05-13,Solar,Technisch,Monitoring nicht verfügbar,Neutral,App,Niedrig,2024-05-20,46
54,985,2023-12-09,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Telefon,Mittel,2023-12-13,15
55,290,2025-05-08,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,Telefon,Niedrig,2025-05-20,16
56,210,2024-04-08,Solar,Technisch,Monitoring nicht verfügbar,Positiv,Telefon,Mittel,2024-04-17,19
57,377,2024-06-14,Allgemein,Service,Lob,Positiv,Chat,Niedrig,2024-06-23,30
58,957,2025-03-30,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Mittel,2025-04-13,25
59,607,2025-01-02,Tarif,Vertrag,Kündigung,Positiv,Email,Mittel,2025-01-04,73
60,206,2023-09-09,Tarif,Vertrag,Kündigung,Neutral,Email,Mittel,2023-09-23,91
61,220,2025-05-25,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Telefon,Mittel,2025-05-25,97
62,464,2023-10-11,Smart Meter,Installation,Smart Meter Installation angefragt,Positiv,Telefon,Mittel,2023-10-18,55
63,971,2023-02-18,Solar,Technisch,Wechselrichter Fehler,Neutral,Chat,Mittel,2023-02-27,79
64,669,2023-03-29,Solar,Technisch,Monitoring nicht verfügbar,Neutral,Chat,Niedrig,2023-04-04,21
65,349,2024-04-13,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,Email,Niedrig,2024-04-14,100
66,762,2023-06-03,Allgemein,Service,Beschwerde,Negativ,Email,Hoch,2023-06-13,63
67,7,2024-11-17,Solar,Technisch,Monitoring nicht verfügbar,Positiv,Email,Mittel,2024-11-28,90
68,367,2023-05-29,Allgemein,Service,Beschwerde,Negativ,Telefon,Niedrig,2023-06-08,11
69,799,2023-02-19,Tarif,Vertrag,Tarifwechsel angefragt,Positiv,Telefon,Hoch,2023-02-22,49
70,378,2024-05-17,Smart Meter,Installation,Smart Meter defekt,Negativ,App,Mittel,2024-05-25,99
71,544,2024-07-14,Wärmepumpe,Technisch,Wartung angefragt,Positiv,App,Niedrig,2024-07-27,76
72,233,2024-05-03,Solar,Technisch,Wechselrichter Fehler,Neutral,Chat,Mittel,2024-05-16,41
73,663,2024-07-23,Allgemein,Service,Lob,Positiv,App,Niedrig,2024-07-25,68
74,396,2025-02-03,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,App,Mittel,2025-02-10,24
75,957,2023-07-28,Solar,Technisch,Monitoring nicht verfügbar,Neutral,App,Mittel,2023-07-29,91
76,401,2024-08-26,Wärmepumpe,Technisch,Wartung angefragt,Neutral,App,Niedrig,2024-09-07,31
77,876,2023-05-22,Allgemein,Service,Lob,Positiv,Email,Niedrig,2023-05-22,70
78,636,2023-08-18,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,Chat,Niedrig,2023-08-29,87
79,780,2023-09-10,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,App,Mittel,2023-09-18,71
80,727,2024-03-19,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Chat,Mittel,2024-03-29,30
81,370,2023-09-11,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Chat,Mittel,2023-09-11,21
82,939,2023-07-12,Smart Meter,Installation,Smart Meter Installation angefragt,Negativ,Telefon,Hoch,2023-07-18,65
83,214,2023-04-30,Wallbox,E-Mobility,Wallbox Installation,Positiv,Email,Mittel,2023-05-06,14
84,426,2024-11-13,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Mittel,2024-11-22,79
85,320,2024-04-23,Solar,Technisch,Wechselrichter Fehler,Positiv,Chat,Niedrig,2024-04-25,42
86,290,2023-04-10,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Niedrig,2023-04-13,2
87,721,2024-01-19,Allgemein,Service,Lob,Positiv,Chat,Niedrig,2024-01-28,42
88,16,2025-05-18,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Chat,Mittel,2025-05-26,96
89,249,2023-11-24,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2023-12-07,75
90,35,2024-07-02,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Email,Niedrig,2024-07-03,43
91,483,2023-06-28,Smart Meter,Installation,Smart Meter defekt,Negativ,Telefon,Mittel,2023-06-28,72
92,893,2023-01-10,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Telefon,Niedrig,2023-01-15,18
93,836,2023-04-26,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Chat,Mittel,2023-05-04,36
94,342,2024-07-25,Allgemein,Service,Beschwerde,Negativ,Email,Hoch,2024-08-08,46
95,50,2023-01-12,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Telefon,Hoch,2023-01-14,26
96,198,2023-02-02,Tarif,Vertrag,Umzug melden,Negativ,App,Mittel,2023-02-16,18
97,27,2023-07-09,Tarif,Vertrag,Kündigung,Positiv,App,Kritisch,2023-07-16,50
98,247,2023-02-16,Wallbox,E-Mobility,Wallbox defekt,Negativ,App,Hoch,2023-02-19,59
99,870,2025-05-03,Solar,Technisch,Monitoring nicht verfügbar,Neutral,App,Niedrig,2025-05-11,28
100,457,2024-09-25,Solar,Technisch,Monitoring nicht verfügbar,Neutral,App,Mittel,2024-10-07,22
101,726,2023-07-19,Solar,Technisch,Monitoring nicht verfügbar,Positiv,App,Hoch,2023-07-30,78
102,185,2023-04-30,Solar,Technisch,Wechselrichter Fehler,Negativ,Email,Mittel,2023-05-07,71
103,572,2024-10-15,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Email,Mittel,2024-10-17,8
104,201,2024-03-29,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Chat,Mittel,2024-04-08,44
105,387,2025-02-13,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Niedrig,2025-02-14,40
106,423,2023-04-26,Allgemein,Service,Allgemeine Anfrage,Neutral,Email,Mittel,2023-05-09,68
107,100,2025-03-08,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,Chat,Mittel,2025-03-16,94
108,439,2023-08-11,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Chat,Mittel,2023-08-18,30
109,564,2024-10-15,Solar,Technisch,Wechselrichter Fehler,Neutral,Email,Mittel,2024-10-19,7
110,679,2023-02-07,Wallbox,E-Mobility,Wallbox Installation,Positiv,Chat,Mittel,2023-02-07,33
111,918,2024-12-08,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Negativ,App,Kritisch,2024-12-21,6
112,373,2023-04-30,Tarif,Vertrag,Kündigung,Neutral,App,Niedrig,2023-05-01,11
113,136,2023-03-27,Allgemein,Service,Beschwerde,Negativ,Email,Mittel,2023-04-10,21
114,735,2023-11-02,Allgemein,Service,Beschwerde,Negativ,App,Niedrig,2023-11-16,75
115,857,2023-02-12,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,App,Kritisch,2023-02-24,12
116,476,2023-08-19,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Email,Mittel,2023-08-28,53
117,577,2023-06-29,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Kritisch,2023-07-13,75
118,714,2024-09-13,Wallbox,E-Mobility,Wallbox Installation,Neutral,Telefon,Mittel,2024-09-20,27
119,515,2025-01-21,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Niedrig,2025-02-04,64
120,161,2023-11-10,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Kritisch,2023-11-13,87
121,869,2024-12-23,Allgemein,Service,Allgemeine Anfrage,Neutral,Telefon,Mittel,2025-01-02,47
122,681,2023-07-30,Tarif,Vertrag,Kündigung,Neutral,Telefon,Mittel,2023-08-10,46
123,257,2025-01-24,Wallbox,E-Mobility,Wallbox Installation,Positiv,Email,Niedrig,2025-01-29,58
124,935,2024-02-21,Allgemein,Service,Lob,Positiv,Telefon,Niedrig,2024-03-03,1
125,761,2023-11-21,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Chat,Mittel,2023-12-05,82
126,325,2025-04-02,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Mittel,2025-04-05,81
127,465,2023-03-29,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Email,Mittel,2023-04-06,81
128,502,2024-05-04,Rechnung,Abrechnung,Zahlungsplan angefragt,Negativ,App,Mittel,2024-05-12,6
129,673,2023-05-01,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Email,Mittel,2023-05-03,6
130,614,2023-03-06,Tarif,Vertrag,Umzug melden,Negativ,Chat,Niedrig,2023-03-19,92
131,529,2023-01-21,Wallbox,E-Mobility,Wallbox defekt,Negativ,Telefon,Hoch,2023-01-24,57
132,442,2023-05-28,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Niedrig,2023-06-02,43
133,887,2024-06-28,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,App,Mittel,2024-06-30,79
134,472,2024-01-14,Rechnung,Abrechnung,Zahlungsplan angefragt,Negativ,Email,Niedrig,2024-01-23,60
135,456,2025-03-15,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Telefon,Mittel,2025-03-18,75
136,886,2024-09-16,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Hoch,2024-09-29,48
137,570,2024-11-07,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Hoch,2024-11-19,6
138,507,2024-03-03,Tarif,Vertrag,Umzug melden,Neutral,Chat,Niedrig,2024-03-08,47
139,752,2023-12-11,Allgemein,Service,Beschwerde,Negativ,Chat,Mittel,2023-12-12,42
140,754,2024-07-07,Rechnung,Abrechnung,Rechnungsfrage,Neutral,App,Mittel,2024-07-17,96
141,139,2025-02-23,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,App,Mittel,2025-02-27,56
142,365,2023-05-25,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Kritisch,2023-05-25,2
143,469,2024-11-13,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Telefon,Mittel,2024-11-21,99
144,556,2024-04-28,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Chat,Kritisch,2024-05-10,37
145,194,2023-04-19,Allgemein,Service,Allgemeine Anfrage,Negativ,Email,Mittel,2023-04-19,60
146,678,2024-12-16,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Telefon,Mittel,2024-12-20,14
147,62,2023-08-29,Allgemein,Service,Lob,Positiv,App,Niedrig,2023-09-12,91
148,133,2025-02-06,Allgemein,Service,Allgemeine Anfrage,Neutral,App,Mittel,2025-02-11,6
149,764,2024-11-06,Wärmepumpe,Technisch,Wartung angefragt,Positiv,Email,Hoch,2024-11-16,33
150,936,2025-01-18,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Mittel,2025-01-22,64
151,129,2023-03-02,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Chat,Mittel,2023-03-14,45
152,929,2023-12-19,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Telefon,Kritisch,2023-12-31,53
153,25,2023-05-28,Solar,Technisch,Wechselrichter Fehler,Neutral,App,Mittel,2023-06-01,45
154,327,2024-05-31,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,App,Mittel,2024-06-12,22
155,905,2024-12-31,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Telefon,Hoch,2025-01-06,6
156,54,2023-07-04,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,App,Mittel,2023-07-18,60
157,311,2023-04-18,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Chat,Hoch,2023-04-25,91
158,133,2024-03-19,Wallbox,E-Mobility,Wallbox Installation,Neutral,App,Niedrig,2024-04-02,58
159,334,2024-04-01,Solar,Technisch,Monitoring nicht verfügbar,Neutral,Chat,Hoch,2024-04-11,29
160,805,2023-12-01,Tarif,Vertrag,Kündigung,Positiv,App,Mittel,2023-12-01,82
161,499,2024-05-22,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2024-06-04,82
162,485,2023-12-02,Allgemein,Service,Beschwerde,Negativ,Email,Kritisch,2023-12-14,34
163,35,2025-02-05,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Chat,Hoch,2025-02-19,28
164,941,2025-02-05,Allgemein,Service,Beschwerde,Negativ,Email,Niedrig,2025-02-10,65
165,754,2025-04-06,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Positiv,Chat,Mittel,2025-04-12,74
166,354,2024-02-24,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Niedrig,2024-03-03,4
167,802,2024-11-17,Tarif,Vertrag,Kündigung,Neutral,Chat,Mittel,2024-11-24,33
168,568,2025-03-22,Allgemein,Service,Allgemeine Anfrage,Neutral,Chat,Mittel,2025-03-24,14
169,945,2023-12-16,Allgemein,Service,Lob,Positiv,App,Niedrig,2023-12-29,55
170,431,2024-09-30,Wallbox,E-Mobility,Wallbox Installation,Positiv,Chat,Kritisch,2024-10-04,51
171,564,2025-04-27,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Chat,Niedrig,2025-05-02,52
172,254,2023-03-18,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Chat,Hoch,2023-03-18,38
173,236,2024-04-11,Wallbox,E-Mobility,Wallbox defekt,Negativ,Telefon,Mittel,2024-04-22,35
174,903,2023-12-25,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Chat,Mittel,2023-12-31,89
175,859,2023-11-26,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Chat,Mittel,2023-11-30,41
176,970,2023-10-04,Wallbox,E-Mobility,Ladekarte Probleme,Positiv,Email,Mittel,2023-10-09,2
177,735,2023-09-19,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Negativ,Telefon,Mittel,2023-10-02,17
178,258,2024-11-26,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Email,Mittel,2024-12-08,24
179,738,2023-08-21,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Chat,Mittel,2023-08-26,12
180,208,2024-08-20,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Positiv,Telefon,Niedrig,2024-09-03,30
181,588,2024-02-06,Wallbox,E-Mobility,Wallbox defekt,Negativ,App,Hoch,2024-02-13,66
182,375,2024-01-29,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Hoch,2024-02-03,32
183,57,2025-06-11,Tarif,Vertrag,Kündigung,Positiv,App,Mittel,2025-06-16,39
184,771,2024-09-15,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,App,Niedrig,2024-09-28,25
185,341,2024-07-04,Allgemein,Service,Allgemeine Anfrage,Neutral,Telefon,Niedrig,2024-07-13,49
186,983,2023-06-21,Solar,Technisch,Wechselrichter Fehler,Neutral,Chat,Mittel,2023-07-03,60
187,489,2023-07-24,Allgemein,Service,Allgemeine Anfrage,Neutral,Chat,Niedrig,2023-07-30,94
188,627,2024-01-15,Smart Meter,Installation,Smart Meter Installation angefragt,Negativ,Email,Mittel,2024-01-25,67
189,620,2023-01-08,Rechnung,Abrechnung,Rechnungsfrage,Neutral,App,Hoch,2023-01-18,68
190,942,2024-08-12,Solar,Technisch,Wechselrichter Fehler,Neutral,Telefon,Mittel,2024-08-23,83
191,405,2023-12-10,Tarif,Vertrag,Kündigung,Neutral,Telefon,Niedrig,2023-12-10,3
192,513,2024-02-18,Allgemein,Service,Allgemeine Anfrage,Negativ,App,Mittel,2024-02-23,32
193,458,2023-04-28,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,Chat,Mittel,2023-04-28,30
194,130,2023-06-03,Tarif,Vertrag,Umzug melden,Neutral,Chat,Hoch,2023-06-12,27
195,344,2023-05-03,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Negativ,App,Niedrig,2023-05-05,76
196,279,2025-03-14,Wallbox,E-Mobility,Wallbox Installation,Neutral,Telefon,Mittel,2025-03-17,80
197,234,2023-04-18,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Chat,Mittel,2023-04-20,83
198,35,2023-09-27,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Telefon,Mittel,2023-10-06,16
199,937,2023-05-14,Tarif,Vertrag,Kündigung,Positiv,Chat,Mittel,2023-05-19,7
200,246,2023-07-17,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,Email,Niedrig,2023-07-25,68
201,278,2024-01-10,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Mittel,2024-01-19,74
202,395,2023-05-06,Tarif,Vertrag,Kündigung,Neutral,Telefon,Mittel,2023-05-06,96
203,579,2025-01-24,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,App,Niedrig,2025-01-24,88
204,306,2023-11-09,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Kritisch,2023-11-15,60
205,704,2024-08-19,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,Email,Mittel,2024-08-25,68
206,754,2024-09-25,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Niedrig,2024-09-27,5
207,296,2023-08-31,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Mittel,2023-09-10,24
208,76,2023-05-18,Tarif,Vertrag,Umzug melden,Negativ,Chat,Mittel,2023-05-25,95
209,628,2024-09-10,Wallbox,E-Mobility,Ladekarte Probleme,Positiv,Chat,Mittel,2024-09-10,64
210,69,2025-02-13,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Chat,Niedrig,2025-02-25,80
211,358,2024-08-02,Solar,Technisch,Wechselrichter Fehler,Neutral,Telefon,Niedrig,2024-08-13,4
212,615,2025-05-19,Solar,Technisch,Monitoring nicht verfügbar,Neutral,Telefon,Mittel,2025-05-25,34
213,225,2024-05-01,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Mittel,2024-05-03,31
214,861,2024-03-25,Allgemein,Service,Allgemeine Anfrage,Negativ,Telefon,Niedrig,2024-03-25,18
215,365,2025-06-17,Wallbox,E-Mobility,Wallbox Installation,Neutral,Chat,Niedrig,2025-06-22,97
216,674,2025-05-15,Wallbox,E-Mobility,Wallbox Installation,Neutral,Chat,Niedrig,2025-05-17,9
217,164,2024-07-16,Solar,Technisch,Monitoring nicht verfügbar,Neutral,Telefon,Hoch,2024-07-25,5
218,495,2024-11-05,Allgemein,Service,Allgemeine Anfrage,Neutral,Telefon,Niedrig,2024-11-15,65
219,947,2025-04-27,Tarif,Vertrag,Umzug melden,Negativ,Email,Mittel,2025-04-30,43
220,611,2023-05-15,Allgemein,Service,Beschwerde,Negativ,Chat,Niedrig,2023-05-15,4
221,924,2023-08-07,Solar,Technisch,Wechselrichter Fehler,Neutral,Email,Mittel,2023-08-16,6
222,752,2023-10-11,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Email,Hoch,2023-10-14,64
223,991,2025-01-17,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Telefon,Hoch,2025-01-21,12
224,250,2023-03-19,Allgemein,Service,Allgemeine Anfrage,Negativ,App,Mittel,2023-03-20,39
225,913,2024-07-01,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Telefon,Kritisch,2024-07-03,100
226,927,2024-09-13,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,Chat,Mittel,2024-09-27,18
227,599,2023-08-29,Smart Meter,Installation,Smart Meter Installation angefragt,Positiv,Telefon,Mittel,2023-08-29,49
228,261,2023-07-03,Solar,Technisch,Monitoring nicht verfügbar,Neutral,App,Mittel,2023-07-11,52
229,163,2023-11-05,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,Telefon,Niedrig,2023-11-08,3
230,568,2023-08-07,Wallbox,E-Mobility,Wallbox Installation,Neutral,Email,Hoch,2023-08-20,43
231,664,2023-05-03,Tarif,Vertrag,Tarifwechsel angefragt,Positiv,Email,Mittel,2023-05-12,33
232,703,2025-05-29,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Niedrig,2025-06-09,45
233,272,2025-06-20,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,Email,Niedrig,2025-06-25,21
234,963,2025-05-12,Allgemein,Service,Beschwerde,Negativ,Chat,Hoch,2025-05-19,21
235,564,2025-06-06,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Chat,Mittel,2025-06-14,59
236,594,2023-06-20,Tarif,Vertrag,Kündigung,Negativ,Telefon,Mittel,2023-06-26,9
237,297,2023-11-30,Allgemein,Service,Lob,Positiv,Telefon,Niedrig,2023-12-01,23
238,632,2023-02-22,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Kritisch,2023-03-07,97
239,412,2024-04-29,Allgemein,Service,Lob,Positiv,Email,Niedrig,2024-05-06,16
240,414,2023-07-24,Tarif,Vertrag,Kündigung,Positiv,Chat,Mittel,2023-08-07,91
241,370,2023-08-26,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Mittel,2023-09-08,74
242,950,2023-07-04,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Hoch,2023-07-09,76
243,207,2025-01-12,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Chat,Mittel,2025-01-16,100
244,854,2025-01-06,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,App,Niedrig,2025-01-10,81
245,570,2023-08-08,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,App,Hoch,2023-08-19,95
246,219,2023-03-13,Allgemein,Service,Beschwerde,Negativ,Email,Hoch,2023-03-15,9
247,966,2025-01-30,Tarif,Vertrag,Umzug melden,Neutral,Email,Niedrig,2025-02-10,31
