vendor_key,vendor_name,vendor_type,vertical,address,city,state,zip
109,Fechner Smart GmbH,E-Mobility Partner,E-Mobility,MarktPlatz 150,Bremen,North,28379
110,Etzler Tech KG,E-Mobility Partner,E-Mobility,WaldRing 65,Hamburg,North,20315
111,Bender Eco AG,Wartungspartner,Future Energy,BeethovenGasse 39,Würzburg,South,97869
112,Gnatz Solar AG,Installateur,Future Energy,SchulRing 123,Kiel,North,24369
113,Weitzel Service KG,Lieferant,Energy,BergWeg 129,Lübeck,North,23149
114,Briemer Haustechnik KG,E-Mobility Partner,E-Mobility,GoetheStraße 75,Potsdam,East,14303
115,Karge Power KG,E-Mobility Partner,E-Mobility,SchillerRing 66,Erfurt,East,99357
116,Sölzer Wärme GmbH,Wartungspartner,Future Energy,RathausWeg 7,Bonn,West,53399
117,Dietz Power e.K.,Wartungspartner,Future Energy,GoethePlatz 133,Erfurt,East,99525
118,Etzler Tech KG,Lieferant,Energy,BergStraße 90,Köln,West,50558
119,Seidel Green KG,Smart Home Partner,Smart Home,BlumenGasse 122,Dresden,East,01674
120,Stolze Energie UG,Installateur,Future Energy,SchulAllee 14,Duisburg,West,47821
121,Patberg Tech UG,Installateur,Future Energy,SonnenWeg 106,Berlin,East,10877
122,Klapp Tech AG,Wartungspartner,Future Energy,EichenAllee 41,Ulm,South,89466
123,Budig Eco e.K.,Wartungspartner,Future Energy,MozartPlatz 103,Düsseldorf,West,40501
124,Häring Klima KG,E-Mobility Partner,E-Mobility,BergAllee 94,Bonn,West,53783
125,Kraus Smart GmbH,Installateur,Future Energy,EichenPlatz 55,München,South,80336
126,Pechel Smart KG,E-Mobility Partner,E-Mobility,SchulPlatz 1,Oldenburg,North,26563
127,Holsten Power e.K.,Wartungspartner,Future Energy,MarktRing 73,Jena,East,07513
128,Beckmann Wärme AG,Lieferant,Energy,BeethovenStraße 93,Düsseldorf,West,40576
129,Junk Eco e.K.,Wartungspartner,Future Energy,MozartRing 58,Münster,West,48464
130,Hoffmann Energie UG,Installateur,Future Energy,SchulWeg 145,Ingolstadt,South,85271
131,Dörr Elektro GmbH,Lieferant,Energy,BlumenGasse 116,Freiburg,South,79173
132,Trubin Service KG,E-Mobility Partner,E-Mobility,EichenPlatz 65,Braunschweig,North,38887
133,Kraushaar Eco e.K.,Installateur,Future Energy,SternAllee 24,Dortmund,West,44924
134,Staude Elektro e.K.,Lieferant,Energy,SonnenGasse 8,Erfurt,East,99808
135,Kabus Elektro UG,Installateur,Future Energy,MarktWeg 95,Bremen,North,28976
136,Gehringer Tech KG,E-Mobility Partner,E-Mobility,SchulStraße 88,Hamburg,North,20101
137,Hein Energie GmbH,Smart Home Partner,Smart Home,MondPlatz 148,Duisburg,West,47134
138,Niemeier Tech AG,Smart Home Partner,Smart Home,GoethePlatz 127,Ulm,South,89226
139,Anders Eco e.K.,Smart Home Partner,Smart Home,SternPlatz 1,Chemnitz,East,09373
140,Ackermann Haustechnik AG,E-Mobility Partner,E-Mobility,GoetheStraße 77,Leipzig,East,04244
141,Wilms Service KG,Lieferant,Energy,GoetheGasse 41,Ulm,South,89741
142,Renner Green AG,Smart Home Partner,Smart Home,BirkenPlatz 3,München,South,80304
143,Mentzel Elektro KG,E-Mobility Partner,E-Mobility,SonnenAllee 64,Erfurt,East,99415
144,Ortmann Service GmbH,Installateur,Future Energy,BeethovenPlatz 30,Ingolstadt,South,85409
145,Mülichen Green KG,Smart Home Partner,Smart Home,BergRing 30,Halle,East,06849
146,Köhler Green GmbH,Wartungspartner,Future Energy,BlumenRing 41,Hamburg,North,20929
147,Buchholz Power AG,Wartungspartner,Future Energy,SternRing 1,Duisburg,West,47187
148,Schmiedecke Tech KG,E-Mobility Partner,E-Mobility,RathausPlatz 25,Berlin,East,10204
149,Bloch Green GmbH,Lieferant,Energy,HeideWeg 98,Oldenburg,North,26101
150,Weitzel Smart GmbH,Installateur,Future Energy,ParkPlatz 118,Leipzig,East,04953
151,Bien Solar KG,Installateur,Future Energy,EichenGasse 32,Jena,East,07804
152,Haering Smart KG,Smart Home Partner,Smart Home,BirkenStraße 101,Freiburg,South,79812
153,Gierschner Eco GmbH,Lieferant,Energy,RathausAllee 148,Nürnberg,South,90541
154,Freudenberger Service AG,Smart Home Partner,Smart Home,SternPlatz 125,Rostock,North,18160
155,van der Dussen Solar UG,Smart Home Partner,Smart Home,MarktAllee 36,Bonn,West,53304
156,Losekann Tech KG,Lieferant,Energy,EichenAllee 131,Regensburg,South,93854
157,Bauer Elektro AG,Lieferant,Energy,BirkenStraße 95,Chemnitz,East,09277
158,Mülichen Power GmbH,Installateur,Future Energy,RosenStraße 129,Münster,West,48638
159,Hendriks Eco AG,Wartungspartner,Future Energy,HauptGasse 104,Münster,West,48203
160,Hörle Elektro AG,Installateur,Future Energy,BrunnenGasse 50,Halle,East,06481
161,Wesack Wärme GmbH,Wartungspartner,Future Energy,MozartAllee 96,Braunschweig,North,38808
162,Mitschke Elektro KG,E-Mobility Partner,E-Mobility,BirkenAllee 38,Karlsruhe,South,76116
163,Pechel Solar e.K.,E-Mobility Partner,E-Mobility,SternWeg 80,Wuppertal,West,42799
164,Weinhold Haustechnik e.K.,Installateur,Future Energy,ParkGasse 53,Chemnitz,East,09666
165,Hörle Power e.K.,Lieferant,Energy,SeeGasse 18,Wuppertal,West,42362
166,Henck Power AG,Smart Home Partner,Smart Home,EichenStraße 2,Potsdam,East,14367
167,Fritsch Energie AG,Smart Home Partner,Smart Home,WiesenStraße 104,Augsburg,South,86763
168,Loos Smart KG,Smart Home Partner,Smart Home,SchulRing 42,Würzburg,South,97108
169,Mosemann Energie GmbH,Lieferant,Energy,EichenAllee 47,Würzburg,South,97534
170,Hertrampf Power AG,Wartungspartner,Future Energy,BahnhofRing 43,Stuttgart,South,70631
171,Reichmann Haustechnik UG,Smart Home Partner,Smart Home,SchulGasse 33,Berlin,East,10262
172,Jessel Green AG,E-Mobility Partner,E-Mobility,BlumenPlatz 56,Würzburg,South,97396
173,Löchel Power KG,E-Mobility Partner,E-Mobility,BlumenStraße 70,Würzburg,South,97748
174,Heydrich Service UG,Smart Home Partner,Smart Home,KirchPlatz 27,Cottbus,East,03397
175,Schuster Haustechnik UG,Lieferant,Energy,LindenStraße 116,Potsdam,East,14461
176,Hartmann Power AG,Installateur,Future Energy,GoethePlatz 141,Jena,East,07721
177,Buchholz Service KG,Wartungspartner,Future Energy,RathausWeg 148,Jena,East,07268
178,Wulf Tech GmbH,Lieferant,Energy,SternWeg 133,Dortmund,West,44609
179,Bolander Service e.K.,Installateur,Future Energy,KirchPlatz 6,Düsseldorf,West,40622
180,Hänel Solar KG,Installateur,Future Energy,TalStraße 57,Rostock,North,18221
181,Etzold Power GmbH,E-Mobility Partner,E-Mobility,WiesenWeg 150,Regensburg,South,93610
182,Harloff Power AG,Wartungspartner,Future Energy,HauptWeg 103,Duisburg,West,47834
183,Heinrich Elektro KG,E-Mobility Partner,E-Mobility,SternWeg 35,Ulm,South,89842
184,Ring Elektro GmbH,Installateur,Future Energy,TalPlatz 16,Aachen,West,52948
185,Spieß Tech KG,E-Mobility Partner,E-Mobility,SchillerWeg 26,Kiel,North,24268
186,Klapp Solar GmbH,Lieferant,Energy,SeePlatz 146,München,South,80805
187,Hertrampf Power KG,E-Mobility Partner,E-Mobility,SonnenWeg 40,Lübeck,North,23665
188,Henk Power UG,Lieferant,Energy,SonnenWeg 124,Würzburg,South,97126
189,Matthäi Energie GmbH,E-Mobility Partner,E-Mobility,RathausRing 123,Karlsruhe,South,76233
190,Trubin Klima AG,Wartungspartner,Future Energy,BergPlatz 75,Berlin,East,10516
191,Lübs Tech AG,E-Mobility Partner,E-Mobility,SchulStraße 73,Stuttgart,South,70109
192,Nerger Solar GmbH,Lieferant,Energy,MondWeg 141,Oldenburg,North,26116
193,Heinz Service GmbH,E-Mobility Partner,E-Mobility,SchillerPlatz 125,Halle,East,06226
194,Blümel Solar UG,E-Mobility Partner,E-Mobility,KirchAllee 52,Hamburg,North,20628
195,Weinhold Smart KG,Smart Home Partner,Smart Home,SchillerWeg 46,Ingolstadt,South,85861
196,Klemm Elektro e.K.,Lieferant,Energy,BrunnenRing 113,Berlin,East,10927
197,Rogge Tech KG,E-Mobility Partner,E-Mobility,KirchAllee 74,Freiburg,South,79894
198,Karz Elektro GmbH,Installateur,Future Energy,KirchGasse 128,Freiburg,South,79970
199,Renner Smart AG,Lieferant,Energy,BergGasse 106,Essen,West,45394
200,Gertz Haustechnik UG,Wartungspartner,Future Energy,SchulStraße 49,Chemnitz,East,09886
